"Name","CtrlIndex","Method","Class","Superclass","Parameters"
"requestPayment","0x39","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/pay/e1, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/pay/e1>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
"getAppConfig","0x65","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/n5, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/n5>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""type"":""Int""}"
"openCTID","0x4b9","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/n8, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/n8>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""miniProgramID"":""String""}"
"shareGameLive","0x409","< Application, Lat0/k, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lat0/k>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""Val"":""String"",""ExptCheckSum"":""String"",""EndTime"":""Long"",""SvrType"":""Int"",""ExptType"":""Int"",""StartTime"":""Long"",""BucketSrc"":""Long"",""ExptSequence"":""Int"",""ExptId"":""Int"",""type"":""Int"",""Key"":""String"",""GroupId"":""Int""}"
"shareFinderEndorsementToFriend","0xfffffffe","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/finder/h0, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/finder/h0>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""relativePath"":""String"",""appid"":""String"",""title"":""String"",""desc"":""String"",""scene"":""Int"",""sceneNote"":""String""}"
"launchApplication","0x1ab","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/x6, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/x6>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""operateDirectly"":""String"",""sourceInfo"":""String"",""alertType"":""String"",""signature"":""String"",""parameter"":""String"",""appId"":""String"",""schemeUrl"":""String"",""bizInfo"":""String"",""packageName"":""String"",""extInfo"":""String""}"
"getLastLocationCache","0x53e","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/lbs/y, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/lbs/y>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
"setTabBarItem","0x1a2","< Application, Lzt0/j1, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lzt0/j1>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""selectedIconPath"":""String"",""text"":""String"",""iconPath"":""String""}"
"operateUploadTask","0x111","< Application, Lpt0/f, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lpt0/f>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""uploadTaskId"":""String"",""operationType"":""String""}"
"getMapCenterLocation","0x90","< Application, Lit0/b, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lit0/v>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""mapId"":""Int""}"
