"Name","CtrlIndex","Method","Class","Superclass","Parameters"
"ecdsaSign","0x447","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/channels/j, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/channels/j>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""signText"":""String""}"
"setScreenMode","0x50a","< Application, Ln11/b, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Ln11/b>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""screenMode"":""String""}"
"openWebViewUseFastLoad","0x2fc","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/bizvideochannel/h, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/bizvideochannel/h>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""Val"":""String"",""EndTime"":""Long"",""SvrType"":""Int"",""StartTime"":""Long"",""BucketSrc"":""Long"",""hexBackgroundColor"":""String"",""backMode"":""Int"",""previewMode"":""Int"",""url"":""String"",""openType"":""Int"",""GroupId"":""Int"",""pageOrientation"":""String"",""ExptCheckSum"":""String"",""halfScreen"":""Boolean"",""extData"":""String"",""ExptType"":""Int"",""ExptId"":""Int"",""ExptSequence"":""Int"",""Key"":""String""}"
"authorize","0x36","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/auth/o0, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/auth/t1>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
"readCompressedFile","0x3a0","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/file/h, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/file/h1>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
"deleteUserAutoFillData","0xce","< Application, Lyr0/c, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lyr0/c>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""groupKey"":""String""}"
"enableLocationUpdate","0x154","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/lbs/b, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/lbs/l>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
"phoneBindCardEntry","0x41a","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/ca, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/ca>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""Val"":""String"",""package"":""String"",""EndTime"":""Long"",""SvrType"":""Int"",""StartTime"":""Long"",""BucketSrc"":""Long"",""signtype"":""String"",""noncestr"":""String"",""GroupId"":""Int"",""ExptCheckSum"":""String"",""ExptType"":""Int"",""paysign"":""String"",""ExptSequence"":""Int"",""ExptId"":""Int"",""Key"":""String"",""timestamp"":""String""}"
"setCurrentPaySpeech","0x27a","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/offlinevoice/b, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/offlinevoice/b>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""tempFilePath"":""String"",""dialectPackId"":""String"",""md5Sum"":""String"",""isOnlyDownload"":""Boolean"",""version"":""String""}"
"vibrateLong","0xe7","< Application, Lmu0/q0, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lmu0/q0>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
"removeXWebLivePlayer","0x233","< Application, Lcom/tencent/mm/plugin/appbrand/extendplugin/g, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Ldw0/h>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
"operateRequestTask","0xf3","< Application, Lot0/g, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lot0/g>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""operationType"":""String"",""requestTaskId"":""String""}"
