((root)), (), (9) Line: 0 Column: 0
  ((idle)), (), (0) Line: 0 Column: 0
  ((program)), (), (0) Line: 0 Column: 0
  (cb), (https://lib/WAServiceMainContext.js), (1) Line: 1 Column: 128139
    (cb), (https://lib/WAServiceMainContext.js), (1) Line: 1 Column: 128407
      (dispatch), (https://lib/WAServiceMainContext.js), (1) Line: 1 Column: 126237
        (emit), (https://lib/WAServiceMainContext.js), (2) Line: 1 Column: 119127
          (), (https://lib/WAServiceMainContext.js), (4) Line: 1 Column: 634655
            (), (https://lib/WASubContext.js), (1) Line: 1 Column: 305740
              (he), (https://lib/WASubContext.js), (1) Line: 1 Column: 304773
                (ve), (https://lib/WASubContext.js), (1) Line: 1 Column: 304960
                  (), (https://lib/WASubContext.js), (1) Line: 1 Column: 427144
                    (Dn), (https://lib/WASubContext.js), (1) Line: 1 Column: 362973
                      (), (https://lib/WASubContext.js), (2) Line: 1 Column: 427755
                        (o.safeCallback), (https://lib/WASubContext.js), (1) Line: 1 Column: 207607
                          (handleTakePhoto), (https://usr/app-service.js), (3) Line: 1 Column: 13824
                            (getCompliance), (https://usr/app-service.js), (1) Line: 6032 Column: 13477
                              (i), (https://lib/WASubContext.js), (1) Line: 6032 Column: 139744
                                (p), (https://lib/WAServiceMainContext.js), (2) Line: 1 Column: 894871
                                  (), (https://lib/WAServiceMainContext.js), (0) Line: 1 Column: 895750
                                  (I), (https://lib/WAServiceMainContext.js), (1) Line: 1 Column: 896034
                                    (), (https://lib/WAServiceMainContext.js), (2) Line: 1 Column: 896128
                                      (beforeExecute), (https://lib/WAServiceMainContext.js), (0) Line: 1 Column: 2004687
                                      (beforeExecute), (https://lib/WAServiceMainContext.js), (1) Line: 1 Column: 2011230
                                        (i), (https://lib/WAServiceMainContext.js), (1) Line: 1 Column: 981012
                                          (r), (https://lib/WAServiceMainContext.js), (1) Line: 1 Column: 980178
                                            (push), (https://lib/WAServiceMainContext.js), (0) Line: 1 Column: 64582
                            (captureCustomEvent), (https://usr/app-service.js), (1) Line: 6032 Column: 3826
                              (d), (https://usr/app-service.js), (1) Line: 5939 Column: 532
                                (_), (https://usr/app-service.js), (2) Line: 5939 Column: 927
                                  (i), (https://lib/WASubContext.js), (1) Line: 5939 Column: 139744
