Name,Return Type,Class Name,Method Name,Super Class,Number of Args,Original Class
onLivePusherBGMProgress,,"<Application,Lgt0/s0>",,,0,"<Application,Lgt0/s0>"
onAddToFavorites,,"<Application,Lcom/tencent/mm/plugin/appbrand/menu/k>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/menu/k>"
showNavigationBarLoading,"<Primordial,V>","<Application,Lzt0/s1>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lzt0/s1>"
onMusicEnd,,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/m0>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/m0>"
saveFile,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/file/u1>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/file/u1>"
openSetting,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/b9>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/b9>"
removeXWebLivePlayer,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/extendplugin/g>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Ldw0/h>"
searchContacts,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/contact/q0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/contact/q0>"
getStorageSync,,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/storage/v>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/storage/v>"
addMapGroundOverlay,"<Primordial,V>","<Application,Lit0/b>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lit0/i>"
createInferenceSession,"<Primordial,V>","<Application,Lxr0/b>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lxr0/b>"
setMapLocMarkerIcon,"<Primordial,V>","<Application,Lit0/b>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lit0/x1>"
onTextAreaHeightChange,,"<Application,Let0/h>",,,0,"<Application,Let0/h>"
endorsementFinished,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/finder/m>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/finder/m>"
removeXWebVideo,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/extendplugin/g>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lkw0/h>"
canvasToTempFilePath,"<Primordial,V>","<Application,Lqs0/i>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lqs0/i>"
getClipboardData,"<Primordial,V>","<Application,Lmu0/n>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lmu0/n>"
