Name,Template
requestPayment,{}
getAppConfig,"{""type"": 1}"
openCTID,"{""miniProgramID"": ""test""}"
shareGameLive,"{""Val"": ""test"", ""ExptCheckSum"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""ExptType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""type"": 1, ""Key"": ""test"", ""GroupId"": 1}"
shareFinderEndorsementToFriend,"{""relativePath"": ""test"", ""appid"": ""test"", ""title"": ""test"", ""desc"": ""test"", ""scene"": 1, ""sceneNote"": ""test""}"
launchApplication,"{""operateDirectly"": ""test"", ""sourceInfo"": ""test"", ""alertType"": ""test"", ""signature"": ""test"", ""parameter"": ""test"", ""appId"": ""test"", ""schemeUrl"": ""test"", ""bizInfo"": ""test"", ""packageName"": ""test"", ""extInfo"": ""test""}"
getLastLocationCache,{}
setTabBarItem,"{""selectedIconPath"": ""test"", ""text"": ""test"", ""iconPath"": ""test""}"
operateUploadTask,"{""uploadTaskId"": ""test"", ""operationType"": ""test""}"
getMapCenterLocation,"{""mapId"": 1}"
openStickerIPView,"{""Val"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""title"": ""test"", ""GroupId"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""iconUrl"": ""test"", ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test"", ""desc"": ""test"", ""setKey"": ""test""}"
addMapPolygons,"{""fillColor"": ""test"", ""polygons"": ""test"", ""level"": ""test"", ""latitude"": ""test"", ""mapId"": 1, ""strokeColor"": ""test"", ""dashArray"": ""test"", ""longitude"": ""test"", ""points"": ""test"", ""zIndex"": 1}"
startFacialEncryptionVerifyAndUploadVideo,"{""checkAliveType"": 1, ""requestVerifyPreInfo"": ""test""}"
navigateTo,"{""singlePageData"": {}, ""url"": ""test""}"
private_openUrl,"{""Val"": ""test"", ""commonUxInfo"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""url"": ""test"", ""GroupId"": 1, ""scene"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""isNativeStyle"": true, ""adInfo"": ""test"", ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test"", ""adUxInfo"": ""test""}"
updateMapGroundOverlay,"{""visible"": true, ""latitude"": 1.0, ""mapId"": 1, ""opacity"": 1.0, ""longitude"": 1.0, ""zIndex"": 1}"
makeBluetoothPair,"{""useOldImpl"": true, ""pin"": ""test"", ""forcePair"": true, ""deviceId"": ""test"", ""timeout"": 1}"
stopVoice,"{""localId"": ""test""}"
updateXWebWebGLCanvas,"{""canvasId"": 1}"
insertFinderWidget,{}
operateRequestTask,"{""operationType"": ""test"", ""requestTaskId"": ""test""}"
navigateBack,"{""singlePageData"": {}}"
